interval,number_spikes,EPSP
10,500,79.34020064391116
10,1000,79.34020064391116
10,1500,79.34020064391116
20,500,79.34020064391116
20,1000,79.34020064391116
20,1500,79.34020064391116
50,500,79.34020064391116
50,1000,79.34020064391116
50,1500,79.34020064391116
